"","x"
"338","MMUT"
"339","MUTYH"
"340","MYOC"
"341","NCBP1"
"342","NDUFA1"
"343","NDUFA2"
"344","NDUFA3"
"345","NDUFA4"
"346","NDUFA5"
"347","NDUFA6"
"348","NDUFA7"
"349","NDUFA8"
"350","NDUFA9"
"351","NDUFA10"
"352","NDUFAB1"
"353","NDUFB1"
"354","NDUFB2"
"355","NDUFB3"
"356","NDUFB4"
"357","NDUFB5"
"358","NDUFB6"
"359","NDUFB7"
"360","NDUFB8"
"361","NDUFB9"
"362","NDUFB10"
"363","NDUFC1"
"364","NDUFC2"
"365","NDUFS1"
"366","NDUFS2"
"367","NDUFS3"
"368","NDUFV1"
"369","NDUFS4"
"370","NDUFS5"
"371","NDUFS6"
"372","NDUFS8"
"373","NDUFV2"
"374","NDUFV3"
"375","NFKB1"
"376","NIT1"
"377","NME1"
"378","NME2"
"379","NME4"
"380","NMT1"
"381","NOS1"
"382","SLC11A2"
"383","NRDC"
"384","NRGN"
"385","NTHL1"
"386","NTSR1"
"387","OAS1"
"388","OAT"
"389","OGDH"
"390","OGG1"
"391","OPA1"
"392","OTC"
"393","OXA1L"
"394","OXCT1"
"395","P2RY1"
"396","P4HA1"
"397","PRKN"
"398","PC"
"399","PCCA"
"400","PCCB"
"401","PCK1"
"402","PCK2"
"403","PDE2A"
"404","PDHA1"
"405","PDHA2"
"406","PDHB"
"407","PDK1"
"408","PDK2"
"409","PDK3"
"410","PDK4"
"411","GATB"
"412","PFDN2"
"413","PFDN4"
"414","PGR"
"415","PHB"
"416","SLC25A3"
"417","PHYH"
"418","PI4KB"
"419","PIN1"
"420","PIN4"
"421","PKM"
"422","PLA2G2A"
"423","PLA2G4A"
"424","PLEC"
"425","PLN"
"426","PMAIP1"
"427","SEPTIN4"
"428","POLG"
"429","POLRMT"
"430","PON2"
"431","POR"
"432","POU5F1"
"433","POU5F1B"
"434","PPOX"
"435","PPP1CC"
"436","PPP2CA"
"437","PPP2R1A"
"438","PPP2R2B"
"439","PPP3CA"
"440","PPP6C"
"441","PRKACA"
"442","PRKCA"
"443","PRKCD"
"444","PRKCE"
"445","MAPK1"
"446","MAPK3"
"447","MAPK8"
"448","MAPK9"
"449","MAPK10"
"450","MAP2K1"
"451","MAP2K2"
"452","PRODH"
"453","KLK6"
"454","PSEN1"
"455","PSEN2"
"456","PSMB4"
"457","PTEN"
"458","PTPN1"
"459","PTPN11"
"460","PTS"
"461","ABCD3"
"462","PXMP2"
"463","PYCR1"
"464","ALDH18A1"
"465","QARS1"
"466","RAC2"
"467","RAD51"
"468","RAD51C"
"469","RAF1"
"470","RALA"
"471","RANBP2"
"472","RAP1GDS1"
"473","RGS2"
"474","RMRP"
"475","RNASEL"
"476","RNF5"
"477","ABCE1"
"478","MRPL23"
"479","MRPL12"
"480","MRPS12"
"481","RPS3"
"482","RPS6KB1"
"483","RPS27A"
"484","RXRA"
"485","S100A1"
"486","ACSM3"
"487","MAPK12"
"488","SCO1"
"489","SCP2"
"490","SDHA"
"491","SDHB"
"492","SDHC"
"493","SDHD"
"494","SGK1"
"495","SHC1"
"496","SHMT2"
"497","SLC8A1"
"498","SLC8A3"
"499","SLC9A1"
"500","SLC25A1"
"501","SLC22A4"
"502","SLIT3"
"503","SNCA"
"504","SOD1"
"505","SOD2"
"506","SORD"
"507","SOX4"
"508","SOX10"
"509","SPG7"
"510","SRC"
"511","SRI"
"512","SSBP1"
"513","STAR"
"514","STAT3"
"515","HSPA13"
"516","STK11"
"517","STXBP1"
"518","SUOX"
"519","SUPV3L1"
"520","ABCC8"
"521","SURF1"
"522","VAMP1"
"523","TAT"
"524","TAFAZZIN"
"525","DYNLT1"
"526","TMBIM6"
"527","TERT"
"528","TFAM"
"529","TFAP2C"
"530","TFAP4"
"531","TGM2"
"532","TH"
"533","THOP1"
"534","TK2"
"535","TNFRSF1A"
"536","TOP3A"
"537","TP53"
"538","TRAF3"
"539","HSP90B2P"
"540","TST"
"541","TUFM"
"542","TXNRD1"
"543","TYMS"
"544","UBA52"
"545","UBB"
"546","UBC"
"547","UBA1"
"548","UCP1"
"549","UCP2"
"550","UCP3"
"551","UNG"
"552","UQCRB"
"553","UQCRC1"
"554","UQCRC2"
"555","UQCRFS1"
"556","UQCRH"
"557","UROS"
"558","VDAC1"
"559","VDAC2"
"560","VDAC3"
"561","VHL"
"562","TRPV1"
"563","VRK2"
"564","XPC"
"565","XRCC3"
"566","ZNF205"
"567","ZNF217"
"568","DAP3"
"569","ALDH5A1"
"570","HSD17B8"
"571","MTERF1"
"572","TUSC3"
"573","SLC25A16"
"574","PDHX"
"575","AKAP1"
"576","CLPP"
"577","GATD3"
"578","PNPLA4"
"579","SNN"
"580","FZD9"
"581","PLA2G6"
"582","SLC25A11"
"583","ULK1"
"584","BBOX1"
"585","GNPAT"
"586","OGT"
"587","PARG"
"588","NIPSNAP1"
"589","LIPF"
"590","HAT1"
"591","AGPS"
"592","AP3B1"
"593","DEGS1"
"594","KMO"
"595","SLC25A12"
"596","PLA2G4C"
"597","RNASET2"
"598","DYNLL1"
"599","ALDH4A1"
"600","BECN1"
"601","S1PR4"
"602","URI1"
"603","GBF1"
"604","GPAA1"
"605","RIPK1"
"606","HRK"
"607","CDS2"
"608","SNAP23"
"609","NAPG"
"610","PEX11B"
"611","SUCLG2"
"612","SUCLG1"
"613","SUCLA2"
"614","NRP1"
"615","TMEM11"
"616","CCN6"
"617","ALKBH1"
"618","SQSTM1"
"619","CPNE3"
"620","RAB29"
"621","WASF1"
"622","KYNU"
"623","NOL3"
"624","HAP1"
"625","SLC25A14"
"626","HIP1R"
"627","NFS1"
"628","DNAJA3"
"629","AIFM1"
"630","FIBP"
"631","COX7A2L"
"632","MYOM2"
"633","DDX21"
"634","TBRG4"
"635","TSPOAP1"
"636","GTF3C4"
"637","LONP1"
"638","COX5A"
"639","ABCG2"
"640","AIM2"
"641","SH3BP5"
"642","MAPK8IP1"
"643","SLC25A27"
"644","PGS1"
"645","PAGE4"
"646","PMPCB"
"647","BAG5"
"648","ATP5MF"
"649","MRPL33"
"650","ATP5MJ"
"651","H6PD"
"652","PRDX6"
"653","MTRF1"
"654","ABCG1"
"655","FEZ1"
"656","IKBKE"
"657","MTFR1"
"658","SLC25A44"
"659","PRORP"
"660","NOS1AP"
"661","RAB11FIP3"
"662","SNPH"
"663","ATG13"
"664","DLGAP5"
"665","MRPL19"
"666","TOMM20"
"667","DELE1"
"668","ARMCX2"
"669","TRIM14"
"670","TOMM70"
"671","MFN2"
"672","EXOG"
"673","AMMECR1"
"674","USP15"
"675","CASP8AP2"
"676","SCO2"
"677","BCL2L10"
"678","BCL2L11"
"679","ABCB6"
"680","DNM1L"
"681","COX17"
"682","CERT1"
"683","TSFM"
"684","PPIF"
"685","LRPPRC"
"686","TRAP1"
"687","BCAP31"
"688","AASS"
"689","SLC25A13"
"690","SLC25A15"
"691","NME6"
"692","DHRS2"
"693","COQ7"
"694","MRPS31"
"695","TIMM17B"
"696","RIDA"
"697","GLYAT"
"698","AKAP8"
"699","BCKDK"
"700","WARS2"
"701","MICU1"
"702","RACK1"
"703","PEMT"
"704","TIMM17A"
"705","ACAA2"
"706","TOMM40"
"707","ECI2"
"708","HAX1"
"709","TIMM44"
"710","ATP5PD"
"711","VAT1"
"712","PITRM1"
"713","OLFM4"
"714","MRPL28"
"715","TXNRD2"
"716","MTHFS"
"717","TXNIP"
"718","PDPN"
"719","ATP5MG"
