"","x"
"1387","MRRF"
"1388","LDHAL6B"
"1389","ATXN3L"
"1390","TIMM50"
"1391","MGME1"
"1392","MARS2"
"1393","COQ10A"
"1394","MYL10"
"1395","TRMT10A"
"1396","ATP5IF1"
"1397","FTMT"
"1398","SFXN1"
"1399","SFXN5"
"1400","RDH13"
"1401","FDX2"
"1402","HOGA1"
"1403","MTFR2"
"1404","AZIN2"
"1405","CYP2U1"
"1406","TXNRD3"
"1407","LACTB"
"1408","SLC25A25"
"1409","PTPMT1"
"1410","VASN"
"1411","OMA1"
"1412","SLC25A26"
"1413","MALSU1"
"1414","FAM210B"
"1415","COX20"
"1416","ACSM1"
"1417","TOP1MT"
"1418","MRPL53"
"1419","MRPL54"
"1420","THEM4"
"1421","CHCHD1"
"1422","SFXN2"
"1423","PDZD8"
"1424","SFXN4"
"1425","LRRK2"
"1426","IFI27L1"
"1427","MRPL52"
"1428","ISCA2"
"1429","SLC25A29"
"1430","MTFMT"
"1431","HIGD2B"
"1432","HYKK"
"1433","ACSM2A"
"1434","EARS2"
"1435","MRPL10"
"1436","WDR81"
"1437","MIEF2"
"1438","FAM210A"
"1439","COX6B2"
"1440","MICOS13"
"1441","CPT1C"
"1442","NLRP5"
"1443","NDUFA11"
"1444","PUSL1"
"1445","NAXE"
"1446","MRPL55"
"1447","CMPK2"
"1448","NEU4"
"1449","MTERF4"
"1450","MIX23"
"1451","DNAJC19"
"1452","CHCHD4"
"1453","TAMM41"
"1454","GLYCTK"
"1455","SPATA18"
"1456","SLC9B2"
"1457","PPARGC1B"
"1458","NADK2"
"1459","ATPSCKMT"
"1460","GRPEL2"
"1461","SDHAF4"
"1462","CIBAR1"
"1463","NDUFAF6"
"1464","TMEM71"
"1465","ADHFE1"
"1466","LETM2"
"1467","NACC2"
"1468","APOOL"
"1469","FUNDC1"
"1470","ASB9"
"1471","BRI3BP"
"1472","ROMO1"
"1473","PABPC5"
"1474","ACSM6"
"1475","TRUB1"
"1476","ETFRF1"
"1477","DHRS13"
"1478","SLC25A52"
"1479","TICAM1"
"1480","CREB3L4"
"1481","AIFM3"
"1482","HSCB"
"1483","DUSP18"
"1484","GPAT2"
"1485","PUS10"
"1486","RMDN2"
"1487","CMC1"
"1488","PPM1K"
"1489","SLC25A48"
"1490","PRELID2"
"1491","KHDC3L"
"1492","FMC1"
"1493","GIMAP8"
"1494","TMEM65"
"1495","TDH"
"1496","TRMT10B"
"1497","C11orf65"
"1498","ALDH1L2"
"1499","PPTC7"
"1500","NAGS"
"1501","SPATA5"
"1502","MMAA"
"1503","DHX36"
"1504","COX7B2"
"1505","CLYBL"
"1506","PGAM5"
"1507","HIGD2A"
"1508","METTL15"
"1509","IMMP1L"
"1510","LDHD"
"1511","ACSF3"
"1512","IBA57"
"1513","DHFR2"
"1514","PLD6"
"1515","PDE12"
"1516","PRIMPOL"
"1517","NAIF1"
"1518","SLC25A43"
"1519","MTLN"
"1520","C2orf69"
"1521","ATAD3C"
"1522","MTIF3"
"1523","MRPL21"
"1524","SPATA19"
"1525","GLYATL2"
"1526","ALKBH3"
"1527","MICU2"
"1528","AK9"
"1529","AFG1L"
"1530","SLC25A30"
"1531","MSRB3"
"1532","ETFBKMT"
"1533","METAP1D"
"1534","NUDT8"
"1535","MPV17L"
"1536","PLA2G4F"
"1537","RNF144B"
"1538","GK5"
"1539","BCLAF3"
"1540","C10orf67"
"1541","DAOA"
"1542","ATP5MGL"
"1543","RAB40AL"
"1544","BLOC1S2"
"1545","SLC25A45"
"1546","GATC"
"1547","SIAH3"
"1548","SLC25A47"
"1549","CISD3"
"1550","TMEM102"
"1551","CAVIN1"
"1552","NDUFAF8"
"1553","SLC25A41"
"1554","SLC25A42"
"1555","THEM5"
"1556","SLC25A34"
"1557","TCAIM"
"1558","RPUSD3"
"1559","DOK7"
"1560","COX18"
"1561","MICU3"
"1562","MMAB"
"1563","BRINP3"
"1564","CYP27C1"
"1565","NAT8L"
"1566","STING1"
"1567","ACSM4"
"1568","COX8C"
"1569","IRGM"
"1570","MTX3"
"1571","MACC1"
"1572","MPC1L"
"1573","ACSM2B"
"1574","NMNAT3"
"1575","ANKRD37"
"1576","GSTK1"
"1577","DND1"
"1578","NDUFS7"
"1579","YJEFN3"
"1580","MIGA1"
"1581","ERCC6L2"
"1582","LRRC10"
"1583","SLC27A1"
"1584","NSUN4"
"1585","ARMS2"
"1586","LIPT2"
"1587","TOMM20L"
"1588","COA6"
"1589","BOLA3"
"1590","SMIM20"
"1591","GLYATL3"
"1592","SLC25A35"
"1593","CHCHD10"
"1594","MCCD1"
"1595","TOMM5"
"1596","SLC25A53"
"1597","MIR17"
"1598","MIR29A"
"1599","MIR29B1"
"1600","MIR29C"
"1601","BLID"
"1602","ATP5F1EP2"
"1603","PLIN5"
"1604","UQCRHL"
"1605","MICOS10"
"1606","MTHFD2L"
"1607","AKR1B15"
"1608","COA5"
"1609","CISD2"
"1610","CKMT1A"
"1611","GDF5-AS1"
"1612","DHFRP1"
"1613","HIGD1C"
"1614","C15orf62"
"1615","SDHAF1"
"1616","TMEM14DP"
"1617","TMEM14EP"
"1618","STMP1"
"1619","D2HGDH"
"1620","DNLZ"
"1621","C12orf73"
"1622","FAM72A"
"1623","ACOD1"
"1624","CSKMT"
"1625","UQCC3"
"1626","UQCRFS1P1"
"1627","KIF28P"
"1628","PET100"
"1629","PLA2G4B"
"1630","TOMM6"
"1631","CMC4"
"1632","GLYATL1B"
"1633","TIMM23"
"1634","PET117"
"1635","MTRNR2L5"
"1636","CEBPZOS"
"1637","NDUFC2-KCTD14"
"1638","TIMM23B"
"1639","PYURF"
"1640","PIGBOS1"
"1641","LOC102724023"
"1642","MTCO2P12"
"1643","HTD2"
